State,Association,Mail,Phone number
Aguascalientes,Instituto Aguascalentense de las Mujeres,aguascalientes@inmujeres.gob.mx,4499192128
Baja California,Instituto de la mujer Para el estado de Baja California,bajacalifornia@inmujeres.gob.mx,6865586364
Baja California Sur,"Centro Mujeres, A.C",cmujeres@balandra.uabcs.mx,6121223570
Campecha,"Residencia Vicentina Nuestra Señora de la Medalla Milagrosa, IAP",null,9818163218
Chiapas,Organización de Mujeres de la Unión de la Selva  ,musaxocotzin@prodigy.net.mx,9636360314
Chihuahua,Casa Amiga,casaamiga@terra.com,6566154143
Coahuila,Asociación de Apoyo a Mujeres Maltratadas,mefs13@hotmail.com,8787827831
Colima,"Centro de Apoyo A la Mujer De Griselda Álvarez, A.C, CAM",camcolim@volcan.ucol.mx,3123126629
Mexico City,"Acción Femenina, A.C",accionfemenina@prodigy.net.mx,5552075082
Mexico City,Consejo Nacional de Derechos de la Mujer,de_kim@mexico.com,5555491094
Durango,Instituto de la Mujer Duranguense,durango@inmujeres.gob.mx,null
Guanajuato,Mujeres en grupo,null,4151523329
Guerrero,Secretaría de la mujer del estado,guerrero@inmujeres.gob.com,7474719892
Hidalgo,"Fuerza y corazón de la mujer hidalguense, A.",null,7717160440
Jalisco,Instituto Jalisciense de las Mujeres,jalisco@inmujeres.gob.mx,3336583167
Estado de Mexico,Instituto Mexiquense de la Mujer,edomexico@inmujeres.gob.mx,5555103464
Michoacán,"Ilusión Femenil, Sociedad y Solidaridad",null,7151537587
Morelos,Organización de mujeres en acción del estado de Morelos,null,7773255376
Nayarit,Instituto de la mujer Nayarita,nayarit@inmujeres.gob.mx,3112170377
Nuevo León,Centro de Ayuda para la Mujer,null,8183450105
Oaxaca,"Mujeres Unidas en Torno al Género, la Equidad y la Reivindicación, Muger",muger_oax@yahoo.com.mx,9515082313
Puebla,"Movimiento Social de Mujeres, A.C",null,2228687591
Querétaro,Consejo Estatal de la Mujer,queretaro@inmujeres.gob.mx,4422153404
Quintana Roo,"Protégeme, A.C",protegemeac@hotmail.com,9988847892
San Luis Potosí,Instituto de las mujeres del estado de San Luis Potosí,dirgeneral@imes.gob.mx,44448149645
Sinaloa,"CAVI “Por el valor de la mujer”, CAVI",maguiperales@hotmail.com,6699854022
Sonora,"Centro de Apoyo Contra la Violencia, A.C., CECOV",cecov@hotmail.com,6313161210
Tabasco,Instituto Estatal de las Mujeres,tabasco@inmujeres.gob.mx,9933139412
Tamaulipas,Instituto de la Mujer Tamaulipeca,tamaulipas@inmujeres.gob.mx,8341101499
Tlaxcala,Caritas de Tlaxcala,null,2464620723
Veracruz,Programa Estatal de la Mujer,veracruz@inmujeres.gob.mx,2288417410
Yucatán,Instituto para la Equidad de Género en Yucatán,yucatan@inmujeres.gob.mx,9999240233
Zacatecas,"Mujeres y Punto, A.C",mujeresypuntozac@hotmail.com,4929493742
